parameter_value,prey_minimum,predator_minimum
1,1,68
1,2,73
1,1,74
1,2,92
1,1,86
1,1,61
1,2,64
1,2,80
1,1,45
1,1,50
1,1,44
1,1,64
1,1,62
1,3,32
1,1,76
1,2,48
1,1,40
1,13,79
1,1,56
1,3,33
1,1,40
1,4,37
1,1,53
1,1,22
1,3,55
1,2,57
1,1,31
1,2,36
1,2,28
1,4,18
1,1,37
1,2,40
1,1,33
1,1,15
1,1,45
1,1,25
1,4,61
1,4,41
1,6,24
1,2,19
1,1,55
1,1,55
1,4,39
1,1,31
1,1,35
1,1,41
1,1,27
1,2,30
1,1,34
1,10,61
1,1,10
1,1,46
1,1,49
1,2,30
1,2,43
1,1,19
1,7,44
1,1,8
1,1,14
1,1,28
1,1,27
1,1,24
1,1,28
1,1,33
1,2,24
1,4,32
1,1,30
1,1,26
1,3,40
1,3,23
1,1,25
1,1,11
1,1,46
1,4,26
1,2,26
1,1,25
1,1,31
1,1,18
1,1,15
1,4,14
1,1,37
1,1,25
1,4,20
1,6,24
1,2,37
1,2,23
1,1,22
1,2,17
1,3,21
1,1,19
1,6,19
1,1,24
1,2,11
1,21,30
1,3,20
1,1,14
1,2,35
1,4,22
1,2,23
1,8,35
2,1,34
2,2,66
2,2,92
2,1,40
2,1,88
2,3,28
2,1,100
2,2,41
2,2,80
2,2,84
2,1,49
2,1,37
2,1,58
2,1,69
2,1,23
2,2,68
2,1,40
2,1,49
2,2,52
2,1,55
2,7,33
2,1,24
2,1,77
2,1,19
2,1,33
2,2,50
2,1,37
2,3,70
2,3,41
2,2,27
2,3,58
2,1,33
2,3,43
2,2,48
2,2,37
2,1,35
2,3,50
2,2,35
2,2,47
2,1,51
2,4,32
2,3,38
2,1,33
2,1,38
2,3,44
2,1,25
2,1,42
2,1,23
2,1,32
2,1,29
2,1,40
2,1,48
2,5,25
2,1,35
2,1,37
2,2,47
2,3,19
2,1,12
2,2,39
2,1,49
2,1,12
2,1,24
2,1,32
2,1,19
2,1,29
2,1,21
2,1,19
2,1,26
2,1,27
2,3,40
2,1,25
2,2,19
2,1,22
2,1,39
2,1,30
2,3,19
2,2,29
2,1,19
2,10,28
2,1,33
2,1,10
2,3,22
2,2,21
2,1,45
2,2,21
2,1,15
2,4,28
2,1,15
2,28,39
2,14,19
2,20,31
2,2,25
2,6,19
2,3,28
2,5,24
2,2,36
2,2,9
2,16,26
2,3,25
2,7,45
3,1,46
3,1,41
3,1,30
3,2,85
3,1,79
3,1,100
3,1,41
3,1,38
3,1,48
3,1,66
3,1,53
3,2,49
3,4,27
3,3,50
3,1,51
3,1,54
3,1,30
3,28,52
3,2,43
3,1,19
3,2,42
3,2,94
3,3,33
3,1,43
3,5,48
3,2,47
3,1,45
3,2,28
3,1,60
3,8,38
3,1,42
3,1,47
3,3,56
3,2,64
3,1,29
3,1,65
3,1,24
3,1,56
3,5,15
3,2,22
3,4,68
3,3,37
3,1,25
3,1,35
3,1,30
3,1,29
3,3,39
3,3,39
3,5,60
3,2,34
3,13,38
3,1,40
3,1,59
3,1,25
3,1,22
3,1,14
3,2,67
3,1,33
3,1,35
3,4,47
3,4,29
3,4,60
3,1,36
3,5,36
3,1,49
3,1,35
3,1,19
3,1,39
3,1,26
3,2,29
3,1,30
3,3,19
3,1,44
3,1,17
3,4,21
3,1,8
3,1,33
3,2,43
3,1,29
3,2,42
3,1,20
3,1,27
3,1,42
3,1,33
3,7,22
3,1,16
3,1,38
3,3,27
3,2,14
3,7,23
3,9,32
3,5,17
3,7,13
3,2,13
3,1,31
3,7,17
3,3,34
3,2,8
3,1,23
3,11,34
4,2,56
4,1,59
4,1,27
4,1,34
4,1,61
4,1,76
4,2,55
4,2,72
4,1,40
4,2,56
4,1,62
4,1,89
4,1,54
4,3,35
4,2,64
4,1,27
4,1,43
4,1,42
4,1,36
4,7,59
4,2,35
4,1,32
4,1,12
4,1,31
4,1,38
4,2,21
4,1,34
4,1,26
4,1,35
4,1,20
4,1,20
4,3,53
4,1,39
4,4,46
4,3,23
4,1,21
4,1,61
4,3,43
4,1,62
4,2,43
4,1,31
4,3,61
4,1,46
4,1,21
4,2,46
4,2,19
4,3,16
4,1,41
4,1,17
4,1,40
4,1,24
4,1,51
4,1,34
4,3,38
4,1,43
4,2,31
4,2,29
4,1,45
4,1,27
4,2,13
4,15,38
4,2,37
4,1,23
4,1,24
4,2,30
4,1,49
4,1,19
4,1,38
4,2,23
4,2,34
4,1,31
4,1,36
4,1,34
4,1,29
4,1,20
4,4,34
4,2,17
4,2,34
4,3,21
4,5,24
4,1,39
4,6,19
4,3,19
4,1,28
4,1,24
4,1,18
4,5,24
4,1,28
4,1,5
4,4,20
4,1,7
4,1,12
4,1,33
4,2,14
4,1,20
4,23,42
4,3,8
4,4,22
4,1,24
4,9,17
5,1,45
5,1,56
5,1,62
5,2,63
5,1,23
5,2,44
5,3,63
5,2,52
