predator_init_pop,prey_minimum,predator_minimum,,,,,
80,1,93,,,,,
80,1,100,,,,,
80,4,79,,,,,
80,1,41,,,,,
80,1,55,,,,,
80,1,62,,,,,
80,1,53,,,,,
80,1,68,,,,,
80,1,67,,,,,
80,1,71,,,,,
80,1,76,,,,,
80,1,48,,,,,
80,2,31,,,,,
80,2,52,,,,,
80,1,26,,,,,
80,1,13,,,,,
80,1,47,,,,,
80,1,25,,,,,
80,1,42,,,,,
80,1,25,,,,,
80,12,37,,,,,
80,1,19,,,,,
80,1,35,,,,,
80,10,45,,,,,
80,1,33,,,,,
80,4,34,,,,,
80,12,38,,,,,
80,9,46,,,,,
80,7,35,,,,,
80,4,29,,,,,
80,16,46,,,,,
80,11,44,,,,,
80,3,44,,,,,
80,12,45,,,,,
90,1,40,,,,,
90,1,50,,,,,
90,1,48,,,,,
90,1,40,,,,,
90,2,48,,,,,
90,1,68,,,,,
90,1,39,,,,,
90,1,36,,,,,
90,3,82,,,,,
90,3,78,,,,,
90,1,38,,,,,
90,2,66,,,,,
90,1,58,,,,,
90,1,56,,,,,
90,1,39,,,,,
90,1,58,,,,,
90,1,43,,,,,
90,2,23,,,,,
90,2,30,,,,,
90,7,45,,,,,
90,11,54,,,,,
90,2,45,,,,,
90,1,39,,,,,
90,6,29,,,,,
90,1,41,,,,,
90,3,42,,,,,
90,3,37,,,,,
90,4,28,,,,,
90,3,33,,,,,
90,8,49,,,,,
90,2,20,,,,,
90,1,31,,,,,
90,7,51,,,,,
90,9,52,,,,,
90,3,39,,,,,
90,7,43,,,,,
90,7,45,,,,,
90,9,52,,,,,
90,8,41,,,,,
90,9,45,,,,,
100,2,93,,,,,
100,1,100,,,,,
100,1,100,,,,,
100,1,98,,,,,
100,1,93,,,,,
100,4,100,,,,,
100,1,93,,,,,
100,1,74,,,,,
100,1,54,,,,,
100,1,52,,,,,
100,2,42,,,,,
100,2,56,,,,,
100,1,42,,,,,
100,1,42,,,,,
100,1,36,,,,,
100,1,49,,,,,
100,1,51,,,,,
100,2,40,,,,,
100,1,33,,,,,
100,7,44,,,,,
100,4,28,,,,,
100,2,41,,,,,
100,8,49,,,,,
100,1,28,,,,,
100,3,34,,,,,
100,1,30,,,,,
100,13,47,,,,,
100,9,50,,,,,
100,6,32,,,,,
100,5,33,,,,,
100,5,48,,,,,
100,1,26,,,,,
100,3,21,,,,,
100,1,35,,,,,
100,9,47,,,,,
100,1,33,,,,,
100,2,35,,,,,
100,21,47,,,,,
100,7,39,,,,,
100,15,44,,,,,
110,1,54,,,,,
110,1,60,,,,,
110,2,58,,,,,
110,1,95,,,,,
110,1,59,,,,,
110,2,100,,,,,
110,1,39,,,,,
110,1,48,,,,,
110,1,38,,,,,
110,1,34,,,,,
110,1,22,,,,,
110,1,23,,,,,
110,1,40,,,,,
110,1,33,,,,,
110,2,30,,,,,
110,1,29,,,,,
110,1,32,,,,,
110,2,37,,,,,
110,1,46,,,,,
110,3,44,,,,,
110,1,57,,,,,
110,9,44,,,,,
110,2,38,,,,,
110,13,46,,,,,
110,1,44,,,,,
110,1,33,,,,,
110,6,45,,,,,
110,1,23,,,,,
110,14,56,,,,,
110,1,39,,,,,
110,13,44,,,,,
110,1,17,,,,,
110,6,56,,,,,
110,8,40,,,,,
110,2,23,,,,,
110,3,28,,,,,
110,7,47,,,,,
110,13,57,,,,,
110,7,28,,,,,
110,3,20,,,,,
120,1,76,,,,,
120,1,98,,,,,
120,1,46,,,,,
120,1,42,,,,,
120,1,61,,,,,
120,1,62,,,,,
120,1,42,,,,,
120,1,41,,,,,
120,2,36,,,,,
120,1,24,,,,,
120,1,27,,,,,
120,1,32,,,,,
120,1,39,,,,,
120,1,45,,,,,
120,7,31,,,,,
120,1,52,,,,,
120,1,32,,,,,
120,9,43,,,,,
120,2,41,,,,,
120,1,13,,,,,
120,2,49,,,,,
120,1,53,,,,,
120,2,23,,,,,
120,1,52,,,,,
120,12,54,,,,,
120,9,38,,,,,
120,2,29,,,,,
120,1,43,,,,,
120,6,39,,,,,
120,8,50,,,,,
120,5,40,,,,,
120,4,41,,,,,
120,6,39,,,,,
120,11,39,,,,,
120,2,40,,,,,
120,1,33,,,,,
120,10,46,,,,,
120,10,34,,,,,
120,14,44,,,,,
120,11,51,,,,,
130,1,100,,,,,
130,1,63,,,,,
130,1,100,,,,,
130,2,72,,,,,
130,2,87,,,,,
130,1,84,,,,,
130,1,97,,,,,
130,1,96,,,,,
130,1,100,,,,,
130,1,13,,,,,
130,1,43,,,,,
130,2,58,,,,,
130,1,37,,,,,
130,1,43,,,,,
130,1,35,,,,,
130,1,40,,,,,
130,1,30,,,,,
130,1,22,,,,,
130,3,41,,,,,
130,1,33,,,,,
130,3,36,,,,,
130,1,27,,,,,
130,1,19,,,,,
130,8,47,,,,,
130,11,47,,,,,
130,1,49,,,,,
130,3,30,,,,,
130,3,41,,,,,
130,4,39,,,,,
130,1,30,,,,,
130,4,36,,,,,
130,3,35,,,,,
130,7,43,,,,,
130,5,35,,,,,
130,1,25,,,,,
130,6,29,,,,,
130,8,50,,,,,
130,1,24,,,,,
130,3,43,,,,,
130,4,40,,,,,
140,1,72,,,,,
140,1,60,,,,,
140,1,53,,,,,
140,1,86,,,,,
140,1,100,,,,,
140,1,53,,,,,
140,1,83,,,,,
140,2,95,,,,,
140,1,67,,,,,
140,1,64,,,,,
140,1,40,,,,,
140,6,47,,,,,
140,4,22,,,,,
140,6,37,,,,,
140,8,46,,,,,
140,21,58,,,,,
140,6,43,,,,,
140,2,37,,,,,
140,8,45,,,,,
140,6,25,,,,,
140,19,60,,,,,
140,4,37,,,,,
140,13,47,,,,,
140,1,45,,,,,
140,1,27,,,,,
140,4,43,,,,,
140,3,43,,,,,
140,1,38,,,,,
140,4,42,,,,,
140,1,38,,,,,
140,2,38,,,,,
140,5,44,,,,,
140,8,37,,,,,
140,3,34,,,,,
140,1,33,,,,,
140,2,25,,,,,
140,2,20,,,,,
140,2,35,,,,,
140,4,27,,,,,
140,13,43,,,,,
150,1,57,,,,,
150,1,63,,,,,
150,1,57,,,,,
150,1,77,,,,,
150,1,69,,,,,
150,1,98,,,,,
150,1,98,,,,,
150,2,48,,,,,
150,1,100,,,,,
150,1,44,,,,,
150,3,88,,,,,
150,2,100,,,,,
150,1,58,,,,,
150,2,65,,,,,
150,1,34,,,,,
150,1,60,,,,,
150,1,58,,,,,
150,5,45,,,,,
150,1,42,,,,,
150,5,48,,,,,
150,3,41,,,,,
150,5,35,,,,,
150,1,38,,,,,
150,6,31,,,,,
150,1,22,,,,,
150,4,42,,,,,
150,1,43,,,,,
150,1,31,,,,,
150,1,29,,,,,
150,2,31,,,,,
150,1,43,,,,,
150,1,35,,,,,
150,2,42,,,,,
150,11,37,,,,,
150,4,21,,,,,
150,8,39,,,,,
150,7,39,,,,,
150,11,52,,,,,
150,6,38,,,,,
150,16,61,,,,,
160,1,73,,,,,
160,3,100,,,,,
160,1,61,,,,,
160,1,58,,,,,
160,1,33,,,,,
160,1,31,,,,,
160,1,75,,,,,
160,3,100,,,,,
160,1,100,,,,,
160,1,80,,,,,
160,1,49,,,,,
160,2,100,,,,,
160,1,66,,,,,
160,1,23,,,,,
160,1,37,,,,,
160,1,47,,,,,
160,1,43,,,,,
160,1,52,,,,,
160,1,53,,,,,
160,1,40,,,,,
160,2,39,,,,,
160,2,55,,,,,
160,1,43,,,,,
160,1,50,,,,,
160,16,43,,,,,
160,1,32,,,,,
160,5,45,,,,,
160,5,30,,,,,
160,4,29,,,,,
160,2,33,,,,,
160,11,50,,,,,
160,6,30,,,,,
160,3,21,,,,,
160,1,51,,,,,
160,9,39,,,,,
160,7,39,,,,,
160,1,43,,,,,
160,1,16,,,,,
160,3,34,,,,,
160,10,48,,,,,
170,1,44,,,,,
170,1,63,,,,,
170,1,85,,,,,
170,1,78,,,,,
170,1,78,,,,,
170,1,73,,,,,
170,1,92,,,,,
170,1,50,,,,,
170,1,71,,,,,
170,1,84,,,,,
170,1,42,,,,,
170,2,66,,,,,
170,1,49,,,,,
170,3,59,,,,,
170,1,62,,,,,
170,1,40,,,,,
170,1,34,,,,,
170,2,44,,,,,
170,7,31,,,,,
170,7,37,,,,,
170,3,19,,,,,
170,5,43,,,,,
170,5,40,,,,,
170,2,18,,,,,
170,1,47,,,,,
170,8,40,,,,,
170,15,52,,,,,
170,2,23,,,,,
170,1,43,,,,,
170,19,45,,,,,
170,7,40,,,,,
170,1,27,,,,,
170,2,31,,,,,
170,4,34,,,,,
170,1,26,,,,,
170,1,21,,,,,
170,6,46,,,,,
170,1,35,,,,,
170,8,37,,,,,
170,2,23,,,,,
180,1,71,,,,,
180,1,65,,,,,
180,1,90,,,,,
180,1,54,,,,,
180,1,65,,,,,
180,1,100,,,,,
180,2,100,,,,,
180,2,68,,,,,
180,1,61,,,,,
180,1,58,,,,,
180,1,44,,,,,
180,2,47,,,,,
180,1,59,,,,,
180,1,51,,,,,
180,1,53,,,,,
180,2,61,,,,,
180,2,68,,,,,
180,2,34,,,,,
180,2,28,,,,,
180,1,27,,,,,
180,1,28,,,,,
180,2,34,,,,,
180,1,44,,,,,
180,6,27,,,,,
180,1,42,,,,,
180,6,46,,,,,
180,5,34,,,,,
180,9,32,,,,,
180,1,29,,,,,
180,2,37,,,,,
180,1,42,,,,,
180,13,51,,,,,
180,2,35,,,,,
180,6,50,,,,,
180,1,34,,,,,
180,1,38,,,,,
180,1,28,,,,,
180,6,50,,,,,
180,3,30,,,,,
180,4,36,,,,,
190,2,100,,,,,
190,1,56,,,,,
190,1,71,,,,,
190,1,65,,,,,
190,1,86,,,,,
190,1,82,,,,,
190,5,63,,,,,
190,1,100,,,,,
190,1,87,,,,,
190,1,36,,,,,
190,1,51,,,,,
190,1,47,,,,,
190,2,47,,,,,
190,1,46,,,,,
190,1,35,,,,,
190,2,37,,,,,
190,5,37,,,,,
190,1,35,,,,,
190,1,48,,,,,
190,1,29,,,,,
190,6,44,,,,,
190,1,25,,,,,
190,12,52,,,,,
190,1,31,,,,,
190,4,43,,,,,
190,5,31,,,,,
190,10,37,,,,,
190,10,44,,,,,
190,1,25,,,,,
190,8,39,,,,,
190,3,40,,,,,
190,5,36,,,,,
190,5,45,,,,,
190,8,40,,,,,
190,4,22,,,,,
190,3,40,,,,,
190,4,28,,,,,
190,1,20,,,,,
190,12,50,,,,,
190,6,34,,,,,
